,Item_Identifier,Item_Weight,Item_category,price_per_unit_wt,Outlet_Size_num,Outlet_Location_Type_num,Item_MRP_clusters,Item_Type_new,Outlet_Years,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Type,Item_Outlet_Sales,Outlet,Identifier,Item_Visibility_MeanRatio
0,FDA15,9.3,FD,3.3272351943045284,1,2,4th,perishable,20,1,0.015919904174950615,4,249.8092,OUT049,1999,1,3735.138,9,156,0.25308056896263825
1,DRC01,5.92,DR,2.2141451777017576,1,0,1st,non_perishable,10,3,0.019094745434374658,14,48.2692,OUT018,2009,2,443.4228,3,8,0.30355138985899505
2,FDN15,17.5,FD,2.20744518440704,1,2,3rd,perishable,20,1,0.01662117477995341,10,141.618,OUT049,1999,1,2097.27,9,662,0.26422874936375745
3,FDX07,19.2,FD,2.349861214754099,2,0,3rd,perishable,21,3,0.0,6,182.095,OUT010,1998,0,732.38,0,1121,0.0
4,NCD19,8.93,NC,1.9504017265330817,2,0,1st,non_perishable,32,2,0.0,9,53.8614,OUT013,1987,1,994.7052,1,1297,0.0
5,FDP36,10.395,FD,1.7825104796791555,1,0,1st,non_perishable,10,3,0.0,0,51.4008,OUT018,2009,2,556.6088,3,758,0.0
6,FDO10,13.65,FD,1.653280220333281,2,0,1st,not_sure,32,3,0.012660604246845633,13,57.6588,OUT013,1987,1,343.5528,1,696,0.20126709878342758
7,FDP10,12.857645184136183,FD,2.6207395742841824,1,0,2nd,not_sure,34,1,0.11997605766925575,13,107.7622,OUT027,1985,3,4022.7636,5,738,1.9072733480774064
8,FDH17,16.2,FD,1.9439028447620788,2,1,2nd,non_perishable,17,3,0.01654941388011191,5,96.9726,OUT045,2002,1,1076.5986,7,440,0.26308795798953966
9,FDU28,19.2,FD,2.3779118905306316,2,1,3rd,non_perishable,12,3,0.09025157935956862,5,187.8214,OUT017,2007,1,4710.535,2,990,1.4347398579217376
10,FDY07,11.8,FD,1.580902416944037,1,2,1st,perishable,20,1,0.0,6,45.5402,OUT049,1999,1,1516.0266,9,1171,0.0
11,FDA03,18.5,FD,2.1735851936892536,0,2,3rd,perishable,22,3,0.04446058887970798,4,144.1102,OUT046,1997,1,2187.153,8,147,0.706795154445416
12,FDX32,15.1,FD,2.3640887985018386,1,2,3rd,perishable,20,3,0.09532245245628826,6,145.4786,OUT049,1999,1,1589.2646,9,1142,1.5153521175403872
13,FDS46,17.6,FD,2.0541106217214726,0,2,2nd,not_sure,22,3,0.04617467819460059,13,119.6782,OUT046,1997,1,2145.2076,8,904,0.7340442317199118
14,FDF32,16.35,FD,2.566090085083492,2,0,3rd,perishable,32,1,0.06581049308815067,6,196.4426,OUT013,1987,1,1977.4260000000002,1,375,1.0461970657252784
15,FDP49,9.0,FD,1.9827072928147682,0,2,1st,perishable,22,3,0.06680684747657263,2,56.3614,OUT046,1997,1,1547.3192,8,767,1.0620362273646438
16,NCB42,11.8,NC,2.3772616685953554,1,0,2nd,non_perishable,10,2,0.008559315324645331,8,115.3492,OUT018,2009,2,1621.8888,3,1280,0.1360684315989979
17,FDP49,9.0,FD,1.951630265885435,1,2,1st,perishable,20,3,0.06690731582682663,2,54.3614,OUT049,1999,1,718.3982,9,767,1.0636333844182038
18,DRI11,12.857645184136183,DR,2.6207395742841824,1,0,2nd,non_perishable,34,1,0.03366461620869042,7,113.2834,OUT027,1985,3,2303.6679999999997,5,79,0.5351703207742866
19,FDU02,13.35,FD,2.9051812379276676,0,1,4th,perishable,15,1,0.097573180921031,4,230.5352,OUT035,2004,1,2748.4224,6,968,1.5511322098184404
20,FDN22,18.85,FD,2.6608803680493387,2,0,4th,not_sure,32,3,0.12943952471497538,13,250.8724,OUT013,1987,1,3775.086,1,666,2.0577151847850907
21,FDW12,12.857645184136183,FD,2.6207395742841824,1,0,3rd,non_perishable,34,3,0.03478775111826686,0,144.5444,OUT027,1985,3,4064.0432,5,1076,0.5530249271094587
22,NCB30,14.6,NC,2.671350216916298,0,1,3rd,non_perishable,15,2,0.025373487084180007,9,196.5084,OUT035,2004,1,1587.2672,6,1278,0.4033652764025101
23,FDC37,12.857645184136183,FD,2.6207395742841824,0,2,2nd,non_perishable,34,1,0.05596152930377371,0,107.6938,OUT019,1985,0,214.3876,4,259,0.8896269425103079
24,FDR28,13.85,FD,2.5583796430086085,0,2,3rd,non_perishable,22,3,0.025566849845791065,5,165.021,OUT046,1997,1,4078.025,8,843,0.40643918672175133
25,NCD06,13.0,NC,1.5109935955800118,2,1,1st,non_perishable,12,2,0.0952075409007691,9,45.906000000000006,OUT017,2007,1,838.908,2,1294,1.5135253551722487
26,FDV10,7.645,FD,1.8770947821348993,0,1,1st,not_sure,15,3,0.0645636180101421,13,42.3112,OUT035,2004,1,1065.28,6,1024,1.0263753475352742
27,DRJ59,11.65,DR,1.4719285384169558,2,0,1st,non_perishable,32,4,0.019171184841092526,7,39.1164,OUT013,1987,1,308.9312,1,101,0.3047665560013745
28,FDE51,5.925,FD,2.16111096837149,2,0,1st,perishable,21,3,0.14968346007108807,4,45.5086,OUT010,1998,0,178.4344,0,350,2.379535380539112
29,FDC14,12.857645184136183,FD,2.6207395742841824,0,2,1st,non_perishable,34,3,0.06973294516485705,3,43.6454,OUT019,1985,0,125.8362,4,244,1.1085527427690827
30,FDV38,19.25,FD,1.3605848680454016,2,0,1st,perishable,21,1,0.15730161128184061,4,55.7956,OUT010,1998,0,163.7868,0,1048,2.500642016714367
31,NCS17,18.6,NC,1.822149606227094,1,0,2nd,non_perishable,10,2,0.07772868346038982,8,96.4436,OUT018,2009,2,2741.7644,3,1480,1.235661924763645
32,FDP33,18.7,FD,2.6895819558494574,1,0,4th,not_sure,10,1,0.0,13,256.6672,OUT018,2009,2,3068.0064,3,756,0.0
33,FDO23,17.85,FD,1.8274690337667616,2,1,2nd,perishable,17,1,0.0,1,93.1436,OUT045,2002,1,2174.5028,7,706,0.0
34,DRH01,17.5,DR,2.3972394733933555,0,2,3rd,non_perishable,22,1,0.09340293398494304,14,174.8738,OUT046,1997,1,2085.2856,8,64,1.484837309063919
35,NCX29,10.0,NC,2.751813146783006,1,2,3rd,non_perishable,20,2,0.08552715165527888,8,146.7102,OUT049,1999,1,3791.0652,9,1533,1.3596350810157418
36,FDV20,12.857645184136183,FD,2.6207395742841824,1,0,2nd,perishable,34,3,0.05780824731909687,6,128.0678,OUT027,1985,3,2797.6916,5,1032,0.9189844336670026
37,DRZ11,8.85,DR,2.697743407477032,1,0,2nd,non_perishable,10,3,0.10717038056382124,14,122.5388,OUT018,2009,2,1609.9044,3,143,1.7037000091816494
38,FDX10,12.857645184136183,FD,2.6207395742841824,1,0,1st,not_sure,34,3,0.11610291660202866,13,36.9874,OUT027,1985,3,388.1614,5,1124,1.8457015738886695
39,FDB34,12.857645184136183,FD,2.6207395742841824,1,0,2nd,not_sure,34,1,0.02613640299395307,13,87.6198,OUT027,1985,3,2180.495,5,214,0.4154934393860422
40,FDU02,13.35,FD,2.9055911828696046,0,2,4th,perishable,22,1,0.09759076275154549,4,230.6352,OUT046,1997,1,3435.528,8,968,1.5514117102237892
41,FDK43,9.8,FD,2.628815556880121,2,0,2nd,perishable,32,1,0.026465118821434094,10,126.00200000000001,OUT013,1987,1,2150.534,1,567,0.4207190731418547
42,FDA46,13.6,FD,2.7202964770546,1,2,3rd,not_sure,20,1,0.11137888210414598,13,192.9136,OUT049,1999,1,2527.3768,9,180,1.7706030478306765
43,FDC02,21.35,FD,2.5782910534036505,1,0,4th,non_perishable,10,1,0.06681982105551157,3,259.9278,OUT018,2009,2,6768.5228,3,236,1.0622424698585222
44,FDL50,12.15,FD,2.434656778789434,2,0,2nd,non_perishable,32,3,0.04140857476841828,3,126.5046,OUT013,1987,1,373.5138,1,611,0.6582769310139865
45,FDM39,6.42,FD,3.3583408248805076,2,0,3rd,perishable,21,0,0.08571788962876122,4,178.1002,OUT010,1998,0,358.2004,0,641,1.3626672647727045
46,NCP05,19.6,NC,2.177197707212421,2,1,3rd,non_perishable,17,2,0.0,8,153.3024,OUT045,2002,1,2428.8384,7,1438,0.0
47,FDV49,10.0,FD,3.3149951317863318,2,1,4th,non_perishable,17,1,0.025550368514993205,3,265.2226,OUT045,2002,1,5815.0972,7,1057,0.4061771810884419
48,FDL12,15.85,FD,1.5737551604381719,0,2,1st,non_perishable,22,3,0.11478541037479015,0,60.622,OUT046,1997,1,2576.646,8,586,1.8247570241013666
49,FDS02,12.857645184136183,FD,2.6207395742841824,0,2,3rd,perishable,34,3,0.22745018125657912,4,196.8794,OUT019,1985,0,780.3176,4,869,3.6158019954444107
50,NCL17,7.39,NC,3.0189465174178602,0,2,3rd,non_perishable,22,2,0.06558145709075117,8,143.8812,OUT046,1997,1,3134.5864,8,1378,1.042556053826099
51,FDM40,10.195,FD,2.7000760363394276,2,0,3rd,non_perishable,32,1,0.14825089857918924,5,141.5154,OUT013,1987,1,850.8924,1,642,2.356761783822733
52,FDR13,9.895,FD,2.551718040774007,2,0,2nd,non_perishable,32,3,0.028292886745422668,3,117.0492,OUT013,1987,1,810.9444,1,830,0.44977531249174535
53,FDA43,10.895,FD,2.9457395508964077,2,1,3rd,perishable,12,1,0.06301384159171111,6,196.3794,OUT017,2007,1,3121.2704,2,177,1.001738371493764
54,NCP18,12.15,NC,2.6002223856648685,2,1,3rd,non_perishable,12,2,0.028354206133100017,9,151.4708,OUT017,2007,1,4815.0656,2,1442,0.4507501139322115
